name,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
female,0,0,0,5.555555556,0,1.5625,1.193317422,7.741935484,3.058103976,5.755395683,1.199040767,12.38591917,9.255319149,9.090909091,1.515151515,6.303724928,2.068965517,3.50877193,19.2393736,3.614457831,2.150537634,3.99113082,11.7274168,7.352941176,3.368421053,3.069657615,2.257336343,2.294792586,3.630363036,8.062234795,8.373205742,6.153846154,6.032906764,4.217926186,5.235602094,1.540672148,11.66007905,1.616499443,8.646616541,1.029433087,7.695810565,15.59485531,4.285714286,8.028335301,10.74380165,15.50088915,4.387755102,5.960264901,13.08641975,9.003690037,14.18744626,20.88888889,5.481481481,8.070175439,8.256880734,11.81192661,11.80952381,6.997084548,7.728706625,14.82926829,12.01814059,18.73517787,14.37198068,17.88685524,33.99681529,29.38689218,51.17948718,30.38105046,26.27118644,10.64162754,8.536585366,11.15241636,14.35245263,16.90140845,14.26202322,31.37254902,22.45047689,17.60521636,13.35417597,21.36881086,25.24937656,15.0094697,23.55491329,33.05832148,12.34225916,9.571876088,11.94486983,30.96996553,21.26126126,42.25260417
male,100,100,100,94.44444444,100,83.203125,98.32935561,64.51612903,81.65137615,87.05035971,95.20383693,85.39765319,88.82978723,87.68699655,36.7201426,85.38681948,91.72413793,84.21052632,71.58836689,84.09638554,96.83744466,89.57871397,86.52931854,91.54411765,90.52631579,93.97874852,95.71106095,91.70344219,91.08910891,84.44130127,88.51674641,89.45054945,92.13893967,87.34622144,92.35602094,98.06817275,87.54940711,97.32441472,90.3091061,98.63708859,91.16575592,83.19935691,71.04761905,91.26328217,87.14416896,83.46176645,85.6122449,92.16335541,82.30452675,87.15867159,82.20120378,77.33333333,91.33333333,85.14619883,89.40783987,83.37155963,84.0952381,90.8649174,82.96529968,82.53658537,68.93424036,71.22529644,83.33333333,80.11647255,62.10191083,65.43340381,46.66666667,63.23377961,70.97457627,79.89045383,81.31929047,86.24535316,58.55177784,60.67172264,81.92371476,61.04575163,72.60943996,69.41315945,75.70343904,62.14511041,67.95511222,49.10037879,68.59344894,60.11379801,77.62388427,78.10650888,75.62531904,55.88380108,39.6996997,48.828125
mixed,0,0,0,0,0,0.390625,0,0,0.611620795,0,0.239808153,0,0,0.345224396,0,0,0.344827586,3.50877193,0.447427293,2.168674699,0.379506641,0.88691796,0.316957211,0.551470588,0,0.354191263,0,0.353045013,0,0.99009901,0.23923445,0.43956044,0.548446069,0,0.523560209,0.14368963,0.197628458,0.22296544,0.334168755,0.072495288,1.047358834,0.321543408,0.19047619,0.118063754,1.469237833,0.118553646,0.204081633,0.55187638,1.893004115,0.073800738,2.579535684,0.296296296,0.222222222,1.169590643,0.58381985,3.325688073,2.857142857,0.680272109,0.394321767,1.463414634,0.680272109,0.079051383,0.603864734,0.915141431,2.468152866,3.488372093,0.615384615,3.913491246,0.423728814,4.773082942,1.607538803,1.327668614,4.619776797,0.975081257,1.326699834,7.058823529,0.78258743,6.935388263,1.429209469,3.360307228,2.244389027,0.946969697,2.456647399,1.479374111,4.278239458,9.745910198,5.61510975,4.185130478,1.921921922,1.627604167
none,0,0,0,0,0,14.84375,0.477326969,27.74193548,14.67889908,7.194244604,3.357314149,2.21642764,1.914893617,2.876869965,61.76470588,8.309455587,5.862068966,8.771929825,8.724832215,10.12048193,0.632511069,5.543237251,1.426307448,0.551470588,6.105263158,2.597402597,2.031602709,5.648720212,5.280528053,6.506364922,2.870813397,3.956043956,1.279707495,8.435852373,1.884816754,0.247465475,0.592885375,0.836120401,0.710108605,0.260983036,0.091074681,0.884244373,24.47619048,0.590318772,0.642791552,0.918790753,9.795918367,1.324503311,2.716049383,3.763837638,1.031814273,1.481481481,2.962962963,5.614035088,1.75145955,1.490825688,1.238095238,1.457725948,8.911671924,1.170731707,18.36734694,9.960474308,1.690821256,1.081530782,1.433121019,1.691331924,1.538461538,2.471678682,2.330508475,4.694835681,8.536585366,1.274561869,22.47599273,21.45178765,2.487562189,0.522875817,4.15749572,6.046235922,9.513175525,13.1257715,4.551122195,34.94318182,5.394990366,5.348506401,5.755617113,2.575704838,6.814701378,8.961102905,37.11711712,7.291666667
